detectorid,stationid,stationname,lanenumber,highwayid,highwayname,milepost
101984,230,"WB Airport Way (2R056) to NB I-205",4,3,I-205,24.82
101985,230,"WB Airport Way (2R056) to NB I-205",3,3,I-205,24.82
101986,230,"WB Airport Way (2R056) to NB I-205",2,3,I-205,24.82
101987,230,"WB Airport Way (2R056) to NB I-205",1,3,I-205,24.82
100962,232,"EB Airport Way (2R057) to NB I-205",4,3,I-205,24.92
100963,232,"EB Airport Way (2R057) to NB I-205",3,3,I-205,24.92
100964,232,"EB Airport Way (2R057) to NB I-205",2,3,I-205,24.92
100965,232,"EB Airport Way (2R057) to NB I-205",1,3,I-205,24.92
102090,1003,"EB Nyberg Loop (2R313) to NB I-5",5,1,I-5,289.4
102091,1003,"EB Nyberg Loop (2R313) to NB I-5",4,1,I-5,289.4
102092,1003,"EB Nyberg Loop (2R313) to NB I-5",3,1,I-5,289.4
102093,1003,"EB Nyberg Loop (2R313) to NB I-5",2,1,I-5,289.4
102094,1003,"EB Nyberg Loop (2R313) to NB I-5",1,1,I-5,289.4
102095,1004,"WB Nyberg Slip (2R312) to NB I-5",5,1,I-5,289.63
102096,1004,"WB Nyberg Slip (2R312) to NB I-5",4,1,I-5,289.63
102097,1004,"WB Nyberg Slip (2R312) to NB I-5",3,1,I-5,289.63
102098,1004,"WB Nyberg Slip (2R312) to NB I-5",2,1,I-5,289.63
102099,1004,"WB Nyberg Slip (2R312) to NB I-5",1,1,I-5,289.63
100429,1005,"Lower Boones (2R311) to NB I-5",3,1,I-5,290.54
100430,1005,"Lower Boones (2R311) to NB I-5",2,1,I-5,290.54
100431,1005,"Lower Boones (2R311) to NB I-5",1,1,I-5,290.54
100432,1006,"Carman (2R316) to NB I-5",3,1,I-5,291.61
100433,1006,"Carman (2R316) to NB I-5",2,1,I-5,291.61
100434,1006,"Carman (2R316) to NB I-5",1,1,I-5,291.61
100435,1007,"OR 217/Kruse Way (2R317) to NB I-5",3,1,I-5,292.18
100436,1007,"OR 217/Kruse Way (2R317) to NB I-5",2,1,I-5,292.18
100437,1007,"OR 217/Kruse Way (2R317) to NB I-5",1,1,I-5,292.18
100755,1008,"Haines (2R308) to NB I-5",3,1,I-5,293.18
100756,1008,"Haines (2R308) to NB I-5",2,1,I-5,293.18
100757,1008,"Haines (2R308) to NB I-5",1,1,I-5,293.18
100758,1009,"99W (2R307) to NB I-5",3,1,I-5,293.74
100759,1009,"99W (2R307) to NB I-5",2,1,I-5,293.74
100760,1009,"99W (2R307) to NB I-5",1,1,I-5,293.74
100761,1010,"Capitol (2R306) to NB I-5",3,1,I-5,295.18
100762,1010,"Capitol (2R306) to NB I-5",2,1,I-5,295.18
100763,1010,"Capitol (2R306) to NB I-5",1,1,I-5,295.18
100764,1011,"Spring Garden (2R305) to NB I-5",3,1,I-5,296.26
100765,1011,"Spring Garden (2R305) to NB I-5",2,1,I-5,296.26
100766,1011,"Spring Garden (2R305) to NB I-5",1,1,I-5,296.26
100767,1012,"Multnomah (2R304) to NB I-5",3,1,I-5,296.6
100768,1012,"Multnomah (2R304) to NB I-5",2,1,I-5,296.6
100769,1012,"Multnomah (2R304) to NB I-5",1,1,I-5,296.6
101912,1013,"Bertha (2R309) to NB I-5",3,1,I-5,297.4
101913,1013,"Bertha (2R309) to NB I-5",2,1,I-5,297.4
101914,1013,"Bertha (2R309) to NB I-5",1,1,I-5,297.4
100369,1015,"Macadam (2R301) to NB I-5",2,1,I-5,299.7
100370,1015,"Macadam (2R301) to NB I-5",1,1,I-5,299.7
100782,1018,"Broadway (2R001) to NB I-5",2,1,I-5,302.5
100783,1018,"Broadway (2R001) to NB I-5",1,1,I-5,302.5
100784,1019,"Going (2R002) to NB I-5",2,1,I-5,303.88
100785,1019,"Going (2R002) to NB I-5",1,1,I-5,303.88
100786,1020,"Alberta (2DS149) to NB I-5",2,1,I-5,304.3
100787,1020,"Alberta (2DS149) to NB I-5",1,1,I-5,304.3
100788,1021,"Rosa Parks (2R004) to NB I-5",2,1,I-5,305.12
100789,1021,"Rosa Parks (2R004) to NB I-5",1,1,I-5,305.12
100792,1023,"Victory (2R006) to NB I-5",2,1,I-5,306.51
100793,1023,"Victory (2R006) to NB I-5",1,1,I-5,306.51
100794,1024,"Marine Dr/99E (2R007) to NB I-5",3,1,I-5,307.46
100795,1024,"Marine Dr/99E (2R007) to NB I-5",2,1,I-5,307.46
100796,1024,"Marine Dr/99E (2R007) to NB I-5",1,1,I-5,307.46
100797,1025,"Jantzen Beach (2DS111) to NB I-5",3,1,I-5,307.9
100798,1025,"Jantzen Beach (2DS111) to NB I-5",2,1,I-5,307.9
100799,1025,"Jantzen Beach (2DS111) to NB I-5",1,1,I-5,307.9
100842,1026,"Jantzen Beach (2DS111) to SB I-5",3,2,I-5,307.9
100843,1026,"Jantzen Beach (2DS111) to SB I-5",2,2,I-5,307.9
100844,1026,"Jantzen Beach (2DS111) to SB I-5",1,2,I-5,307.9
100839,1027,"Marine Dr/99E (2R010) to SB I-5",3,2,I-5,307.35
100840,1027,"Marine Dr/99E (2R010) to SB I-5",2,2,I-5,307.35
100841,1027,"Marine Dr/99E (2R010) to SB I-5",1,2,I-5,307.35
100833,1028,"Columbia (2R011) to SB I-5",3,2,I-5,305.97
100834,1028,"Columbia (2R011) to SB I-5",2,2,I-5,305.97
100835,1028,"Columbia (2R011) to SB I-5",1,2,I-5,305.97
100830,1029,"WB Lombard (2R013) to SB I-5",3,2,I-5,305.51
100831,1029,"WB Lombard (2R013) to SB I-5",2,2,I-5,305.51
100832,1029,"WB Lombard (2R013) to SB I-5",1,2,I-5,305.51
100827,1030,"EB Lombard (2R012) to SB I-5",3,2,I-5,305.4
100828,1030,"EB Lombard (2R012) to SB I-5",2,2,I-5,305.4
100829,1030,"EB Lombard (2R012) to SB I-5",1,2,I-5,305.4
100824,1031,"Rosa Parks (2R014) to SB I-5",3,2,I-5,304.85
100825,1031,"Rosa Parks (2R014) to SB I-5",2,2,I-5,304.85
