start_time,volume lane1,volume lane2,volume lane3,volume ramp1,speed lane1,speed lane2,speed lane3
2022-06-06 00:00:00-07:00,165,240,29,869,62.03,63.4,42.86
2022-06-06 01:00:00-07:00,121,188,24,993,61.87,62.1,42.08
2022-06-06 02:00:00-07:00,86,124,10,719,61.97,61.19,46.1
2022-06-06 03:00:00-07:00,107,149,25,986,60.74,62.25,36.44
2022-06-06 04:00:00-07:00,353,336,35,989,62.35,64.01,53.71
2022-06-06 05:00:00-07:00,1354,895,91,1086,60.95,62.72,52.55
2022-06-06 06:00:00-07:00,1414,1080,165,1187,61.04,61.74,46.34
2022-06-06 07:00:00-07:00,1561,1622,281,1288,60.47,58.13,50.08
2022-06-06 08:00:00-07:00,1499,1549,268,1258,60.11,55.94,53.28
2022-06-06 09:00:00-07:00,1224,1303,251,1114,59.61,58.11,49.41
2022-06-06 10:00:00-07:00,1288,1322,264,1248,61.22,57.43,52.35
2022-06-06 11:00:00-07:00,1262,1349,306,1234,61.07,58.85,53.13
2022-06-06 12:00:00-07:00,1363,1506,323,1250,60.11,59.18,50.88
2022-06-06 13:00:00-07:00,1375,1445,328,1155,60.3,58.8,51.27
2022-06-06 14:00:00-07:00,1471,1597,362,1116,59.05,56.81,47.26
2022-06-06 15:00:00-07:00,1572,1718,323,1133,53.53,47.21,40.7
2022-06-06 16:00:00-07:00,1602,1730,248,1303,42.12,36.3,31.25
2022-06-06 17:00:00-07:00,1577,1731,227,1368,36.05,29.29,24.85
2022-06-06 18:00:00-07:00,1272,1478,280,1248,59.25,56.48,47.18
2022-06-06 19:00:00-07:00,983,1158,202,1220,63.32,62.78,52.86
2022-06-06 20:00:00-07:00,762,929,167,1138,62.86,60.24,52.44
2022-06-06 21:00:00-07:00,596,703,113,1065,63.09,61.66,47.81
2022-06-06 22:00:00-07:00,472,540,74,1082,60.39,60.91,43.63
2022-06-06 23:00:00-07:00,321,385,53,991,61.72,62.36,47.78
2022-06-07 00:00:00-07:00,207,251,21,1133,61.72,62.89,43.53
2022-06-07 01:00:00-07:00,113,151,12,983,62.42,63.21,51.83
2022-06-07 02:00:00-07:00,109,165,16,849,61.83,61.53,38.37
2022-06-07 03:00:00-07:00,142,152,31,1206,59.55,62.42,46.74
2022-06-07 04:00:00-07:00,369,313,43,1305,63.92,62.83,56
2022-06-07 05:00:00-07:00,1382,954,122,1219,62.82,63.22,51.77
2022-06-07 06:00:00-07:00,1437,1184,194,1167,61.3,61.55,51.06
2022-06-07 07:00:00-07:00,1564,1599,278,1123,56.53,52.94,45.53
2022-06-07 08:00:00-07:00,1481,1638,328,1276,58.54,56.88,49.56
2022-06-07 09:00:00-07:00,1344,1449,251,1104,59.09,57.71,47.23
2022-06-07 10:00:00-07:00,1353,1439,268,1211,57.48,56.53,48.66
2022-06-07 11:00:00-07:00,1204,1312,267,1098,59.88,56.03,49.92
2022-06-07 12:00:00-07:00,1350,1487,291,1229,61.28,56.79,52.56
2022-06-07 13:00:00-07:00,1322,1535,299,1236,57.08,54.89,47.32
2022-06-07 14:00:00-07:00,1442,1592,297,1179,55.77,54.14,45.72
2022-06-07 15:00:00-07:00,1554,1710,318,1277,50.72,45.41,41.33
2022-06-07 16:00:00-07:00,1503,1621,250,1323,34.79,26.97,25.75
2022-06-07 17:00:00-07:00,1609,1684,250,1368,33.14,24.76,23.51
2022-06-07 18:00:00-07:00,1388,1566,268,1289,48.41,45.16,41.6
2022-06-07 19:00:00-07:00,1095,1217,264,1061,63.22,61.16,50.65
2022-06-07 20:00:00-07:00,833,1002,226,1096,63.57,61.08,53.31
